Examinee_ID,Domain,Domain_Label,Strength,Strength_Rule,Evidence_Pattern,Registry_Primary_Indices,Registry_Supporting_Indices,Primary_Hits,Supporting_Hits,Evidence_Flags,Calibration_Required_Hits,Display_Only_Hits,Available,Primary_Indicators,Supporting_Indicators,Trace_Columns,Missing_Note
332,MF,Misfit,none,B3-01,No primary or supporting indicators are flagged,detect_nm/ZU3_S,"detect_nm/G_S, detect_nm/NC_S, detect_nm/U1_S, detect_nm/U3_S, detect_nm/A_S, detect_nm/D_S, detect_nm/E_S, detect_nm/C_S, detect_nm/MC_S, detect_nm/PC_S, detect_nm/HT_S, detect_nm/KL_T, detect_pm/L_ST_NO / CF / CS / EW / TS / TSCF / TSCS / TSEW, detect_pm/L_S_NO / CF / CS / EW / TS / TSCF / TSCS / TSEW, detect_pm/ECI2_S_NO / CF / CS / EW / TS / TSCF / TSCS / TSEW, detect_pm/ECI4_S_NO / CF / CS / EW / TS / TSCF / TSCS / TSEW, detect_pm/L_R_NO / CF / CS / EW / TS / TSCF / TSCS / TSEW, detect_pm/L_T, detect_pm/Q_ST_NO / CF / CS / EW / TS / TSCF / TSCS / TSEW, detect_pm/Q_RT_NO / CF / CS / EW / TS / TSCF / TSCS / TSEW, detect_pm/L_RT_NO / CF / CS / EW / TS / TSCF / TSCS / TSEW",,,,,,1,0,0,,
332,RT,Response-Time,moderate,B3-04,"Multiple supporting indicators are flagged, with no primary indicator",,"detect_rg/CT, detect_rg/NT, detect_rg/CUMP, detect_rg/RTE",,"detect_rg:CUMP, detect_rg:NT","detect_rg:CUMP, detect_rg:NT",,,1,0,2,"CUMP_flag, NT_flag, rg_CUMP_flag, rg_NT_flag",
332,SIM,Similarity,none,B3-01,No primary or supporting indicators are flagged,"detect_ac/OMG_S, detect_ac/GBT_S, detect_as/OMG_S, detect_as/OMG_ST","detect_ac/OMG_R, detect_ac/GBT_R, detect_as/WOMG_S, detect_as/GBT_S, detect_as/M4_S, detect_as/OMG_R, detect_as/WOMG_R, detect_as/GBT_R, detect_as/M4_R, detect_as/GBT_ST, detect_as/OMG_RT, detect_as/GBT_RT",,,,,,1,0,0,,
332,PK,Preknowledge,none,B3-01,No primary or supporting indicators are flagged,"detect_pk/L_ST, detect_pk/L_S","detect_pk/ML_S, detect_pk/LR_S, detect_pk/S_S, detect_pk/W_S, detect_pk/L_T, detect_pk/W_T",,,,,,1,0,0,,
332,CP,Change Point,unavailable,B3-00,Required data for the domain are unavailable,"detect_cp/L_T_MAX2, detect_cp/L_T_MAX1, detect_cp/L_T_MIN1, detect_cp/L_S_MAX2, detect_cp/L_S_MAX1, detect_cp/L_S_MIN1","detect_cp/S_S_MAX2, detect_cp/S_S_MAX1, detect_cp/S_S_MIN1, detect_cp/W_S_MAX2, detect_cp/W_S_MAX1, detect_cp/W_S_MIN1, detect_cp/W_T_MAX2, detect_cp/W_T_MAX1, detect_cp/W_T_MIN1",,,,,,0,0,0,,No Evidence Input rows are available for this domain.
332,TP,Tampering,strong,B3-05,One primary indicator together with supporting indicators within the same domain,detect_tt/EDI_SD_NO / CO / TS,"detect_tt/GBT_SD, detect_tt/L_SD, detect_tt/EDI_R_NO / CO / TS, detect_tt/GBT_R, detect_tt/L_R",detect_tt:tt_EDI_SD,detect_tt:tt_GBT_SD,"detect_tt:tt_EDI_SD, detect_tt:tt_GBT_SD",,detect_tt:EDI_SD_NO / CO / TS,1,1,1,"EDI_SD_CO_flag, EDI_SD_CO_pval_flag, EDI_SD_NO_flag, GBT_SD_flag, tt_EDI_SD_CO_flag, tt_EDI_SD_CO_pval_Flag, tt_EDI_SD_NO_flag, tt_GBT_SD_flag",
