Examinee_ID,Domain,Domain_Label,Strength,Strength_Rule,Evidence_Pattern,Registry_Primary_Indices,Registry_Supporting_Indices,Primary_Hits,Supporting_Hits,Evidence_Flags,Calibration_Required_Hits,Display_Only_Hits,Available,Primary_Indicators,Supporting_Indicators,Trace_Columns,Missing_Note
17,MF,Misfit,moderate,B3-04,"Multiple supporting indicators are flagged, with no primary indicator",detect_nm/ZU3_S,"detect_nm/G_S, detect_nm/NC_S, detect_nm/U1_S, detect_nm/U3_S, detect_nm/A_S, detect_nm/D_S, detect_nm/E_S, detect_nm/C_S, detect_nm/MC_S, detect_nm/PC_S, detect_nm/HT_S, detect_nm/KL_T, detect_pm/L_ST_NO / CF / CS / EW / TS / TSCF / TSCS / TSEW, detect_pm/L_S_NO / CF / CS / EW / TS / TSCF / TSCS / TSEW, detect_pm/ECI2_S_NO / CF / CS / EW / TS / TSCF / TSCS / TSEW, detect_pm/ECI4_S_NO / CF / CS / EW / TS / TSCF / TSCS / TSEW, detect_pm/L_R_NO / CF / CS / EW / TS / TSCF / TSCS / TSEW, detect_pm/L_T, detect_pm/Q_ST_NO / CF / CS / EW / TS / TSCF / TSCS / TSEW, detect_pm/Q_RT_NO / CF / CS / EW / TS / TSCF / TSCS / TSEW, detect_pm/L_RT_NO / CF / CS / EW / TS / TSCF / TSCS / TSEW",,"detect_pm:pm_L_ST, detect_pm:pm_L_T, detect_pm:pm_Q_ST","detect_pm:pm_L_ST, detect_pm:pm_L_T, detect_pm:pm_Q_ST",,,1,0,3,"L_ST_NO_flag, L_ST_TS_flag, L_ST_TS_pval_flag, L_T_flag, Q_ST_CF_flag, Q_ST_CF_pval_flag, Q_ST_CS_flag, Q_ST_CS_pval_flag, Q_ST_EW_flag, Q_ST_EW_pval_flag, Q_ST_NO_flag, Q_ST_TSCF_flag, Q_ST_TSCF_pval_flag, Q_ST_TSCS_flag, Q_ST_TSCS_pval_flag, Q_ST_TSEW_flag, Q_ST_TSEW_pval_flag, Q_ST_TS_flag, Q_ST_TS_pval_flag, pm_L_ST_NO_flag, pm_L_ST_TS_flag, pm_L_ST_TS_pval_Flag, pm_L_T_flag, pm_Q_ST_CF_flag, pm_Q_ST_CF_pval_Flag, pm_Q_ST_CS_flag, pm_Q_ST_CS_pval_Flag, pm_Q_ST_EW_flag, pm_Q_ST_EW_pval_Flag, pm_Q_ST_NO_flag, pm_Q_ST_TSCF_flag, pm_Q_ST_TSCF_pval_Flag, pm_Q_ST_TSCS_flag, pm_Q_ST_TSCS_pval_Flag, pm_Q_ST_TSEW_flag, pm_Q_ST_TSEW_pval_Flag, pm_Q_ST_TS_flag, pm_Q_ST_TS_pval_Flag",
17,RT,Response-Time,moderate,B3-04,"Multiple supporting indicators are flagged, with no primary indicator",,"detect_rg/CT, detect_rg/NT, detect_rg/CUMP, detect_rg/RTE",,"detect_rg:CT, detect_rg:CUMP, detect_rg:NT","detect_rg:CT, detect_rg:CUMP, detect_rg:NT",,,1,0,3,"CT_flag, CUMP_flag, NT_flag, rg_CT_flag, rg_CUMP_flag, rg_NT_flag",
17,SIM,Similarity,none,B3-01,No primary or supporting indicators are flagged,"detect_ac/OMG_S, detect_ac/GBT_S, detect_as/OMG_S, detect_as/OMG_ST","detect_ac/OMG_R, detect_ac/GBT_R, detect_as/WOMG_S, detect_as/GBT_S, detect_as/M4_S, detect_as/OMG_R, detect_as/WOMG_R, detect_as/GBT_R, detect_as/M4_R, detect_as/GBT_ST, detect_as/OMG_RT, detect_as/GBT_RT",,,,,,1,0,0,,
17,PK,Preknowledge,strong,B3-05,One primary indicator together with supporting indicators within the same domain,"detect_pk/L_ST, detect_pk/L_S","detect_pk/ML_S, detect_pk/LR_S, detect_pk/S_S, detect_pk/W_S, detect_pk/L_T, detect_pk/W_T",detect_pk:L_ST,"detect_pk:L_T, detect_pk:W_T","detect_pk:L_ST, detect_pk:L_T, detect_pk:W_T",,,1,1,2,"L_ST_flag, L_T_flag, W_T_flag, pk_L_ST_flag, pk_L_T_flag, pk_W_T_flag",
17,CP,Change Point,unavailable,B3-00,Required data for the domain are unavailable,"detect_cp/L_T_MAX2, detect_cp/L_T_MAX1, detect_cp/L_T_MIN1, detect_cp/L_S_MAX2, detect_cp/L_S_MAX1, detect_cp/L_S_MIN1","detect_cp/S_S_MAX2, detect_cp/S_S_MAX1, detect_cp/S_S_MIN1, detect_cp/W_S_MAX2, detect_cp/W_S_MAX1, detect_cp/W_S_MIN1, detect_cp/W_T_MAX2, detect_cp/W_T_MAX1, detect_cp/W_T_MIN1",,,,,,0,0,0,,No Evidence Input rows are available for this domain.
17,TP,Tampering,none,B3-01,No primary or supporting indicators are flagged,detect_tt/EDI_SD_NO / CO / TS,"detect_tt/GBT_SD, detect_tt/L_SD, detect_tt/EDI_R_NO / CO / TS, detect_tt/GBT_R, detect_tt/L_R",,,,,,1,0,0,,
